"Service point picker","Locatiekiezer"
"Service Point Picker enabled","Locatiekiezer inschakelen"
"Add service point picker to following shipping methods","Voeg locatiekiezer toe aan volgende verzendmethodes"
"Convert to shipped","Omzetten naar verzonden"
"Order %s has succesfully been converted to a shipped order","Order %s is succesvol omgezet tot een verzonden order"
"Order %s has succesfully been transfered to SendCloud","Order %s is succesvol overgezet naar SendCloud"
"Order %s has the following problem: ","Order %s heeft het volgende probleem: "
"Order completed, sent with Sendcloud Integration","Order is compleet en verzonden met SendCloud integratie"
"Ship with SendCloud","Verzenden met SendCloud"
"The order has succesfully been transfered to SendCloud","De order is succesvol overgezet naar SendCloud"
"Introduction","Introductie"
"Automatic transfer enabled","Automatisch overzetten ingeschakeld"
"Scan&go enabled","Scan&go ingeschakeld"
"API Settings","API Instellingen"
"Public key","Publieke sleutel"
"Secret key","Geheime sleutel"
"Transfer status condition","Overdracht status conditie"
"Use address 2 field as housenumber","Gebruik adres 2 veld als huisnummer"
"Often OneStepCheckout uses the address 2 field as housenumber.","Vaak wordt er in OneStepCheckout het adres 2 veld gebruikt voor huisnummer"
"When an order has the above status, the order will be transferred.","Wanneer de order bovenstaande status heeft, wordt de order overgezet."
"Notify customer after converting to shipped","Notificeer klant na omzetten tot verzonden"
"SendCloud offers a bulk order action which changes the status to shipped. Enabling this option will notify the customer of these changed orders","SendCloud biedt de mogelijkheid om in bulk orders om te zetten naar verzonden. Het aangezetten van deze optie zal de klant notificeren van de omgezette orders."
"Extra functionality","Extra functionaliteit"
