"Admin","Admin"
"Average value of 1 point spent","Average value of 1 point spent"
"Avg. Points Per Order","Avg. Points Per Order"
"Avg. order value vs avg number of points earned from orders","Avg. order value vs avg number of points earned from orders"
"Birthday","Birthday"
"CSV","CSV"
"Current Month Starts","Current Month Starts"
"Customer","Customer"
"Customer Report","Customer Report"
"Customers","Customers"
"Dashboard","Dashboard"
"Day","Day"
"Disabled","Disabled"
"Discount for Using Points","Discount for Using Points"
"Earned","Earned"
"Earned Points","Earned Points"
"Earning Distribution","Earning Distribution"
"Enabled","Enabled"
"Excel XML","Excel XML"
"Facebook Like","Facebook Like"
"From","From"
"Held-back Balance","Held-back Balance"
"ID","ID"
"Loyal Customers","Loyal Customers"
"Month","Month"
"Newsletter","Newsletter"
"Newsletter Subscription","Newsletter Subscription"
"No Data Found","No Data Found"
"Not spent","Not spent"
"Number of Orders","Number of Orders"
"Order","Order"
"Order Report","Order Report"
"Orders","Orders"
"Others","Others"
"Point Balance","Point Balance"
"Point Earning Report","Point Earning Report"
"Point Spending Report","Point Spending Report"
"Points","Points"
"Points Earned and Spent","Points Earned and Spent"
"Price","Price"
"Product Name","Product Name"
"Product Report","Product Report"
"Product Review","Product Review"
"Product Tag","Product Tag"
"Products","Products"
"Purchase Order","Purchase Order"
"Qty","Qty"
"Report","Report"
"Report Plugin Configuration","Report Plugin Configuration"
"Reports","Reports"
"Review","Beoordeling"
"Reviews","Beoordelingen"
"Reward Points","Reward Points"
"Reward System Report","Reward System Report"
"SKU","SKU"
"Select Date","Select Date"
"Select Range","Select Range"
"Select the day of the month to be used as the starting point for reports.","Select the day of the month to be used as the starting point for reports."
"Show By","Show By"
"Show Report","Show Report"
"Sign-up","Sign-up"
"Sign-ups","Sign-ups"
"Signups","Signups"
"Spending/Earning Ratio","Spending/Earning Ratio"
"Spent","Spent"
"Spent Points","Gebruikte Punten"
"Subscriptions","Subscriptions"
"This graph shows sources that Customers earn points.","This graph shows sources that Customers earn points."
"This graph shows the number of loyal Customers in your store over time.","This graph shows the number of loyal Customers in your store over time."
"This graph tells you how many points are spent for every 100 points rewarded.","This graph tells you how many points are spent for every 100 points rewarded."
"This is the average cost of a loyal Customer. A loyal Customer is the one who has spent points on your store.","This is the average cost of a loyal Customer. A loyal Customer is the one who has spent points on your store."
"This report shows the number of points your Customers earned and spent.","This report shows the number of points your Customers earned and spent."
"Time","Time"
"To","To"
"Total","Total"
"Total Earned Points","Total Earned Points"
"Total Of Orders Using Points","Total Of Orders Using Points"
"Total Spent Points","Total Spent Points"
"Tweet","Tweet"
"XML","XML"
"Year","Year"
"Year-To-Date Starts","Year-To-Date Starts"
"Your cost for a loyal Customer","Your cost for a loyal Customer"
